combo,MERTON_GAMMA,VIEW_SCALE,BL_TAU,MERTON_MAX_SECTOR,Strategy_Total Return,Strategy_CAGR,Strategy_Volatility,Strategy_Sharpe,Strategy_Max Drawdown,SP500_Total Return,SP500_CAGR,SP500_Volatility,SP500_Sharpe,SP500_Max Drawdown,n_rebalances,beats_sp500,elapsed_s,combo_dir
16,-0.5,0.28,0.07,0.45,1.2199319064485463,0.14232373291949996,0.17612614763034717,0.7255861913794335,-0.3335178767234736,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.4,results_optimization\combo_016
17,-0.5,0.28,0.1,0.35,1.2210032844711085,0.14241570361004174,0.1759352721904444,0.7268961462914835,-0.3337165835356014,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_017
18,-0.5,0.28,0.1,0.45,1.2199319064485463,0.14232373291949996,0.17612614763034717,0.7255861913794335,-0.3335178767234736,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_018
19,-0.8,0.15,0.05,0.35,1.1768862158732336,0.13859759061947474,0.17886222901633098,0.6936543229039273,-0.34549676333999035,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_019
20,-0.8,0.15,0.05,0.45,1.1672805111119398,0.13775772857861956,0.17972751669922638,0.6856417903262861,-0.3457316627029415,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.8,results_optimization\combo_020
21,-0.8,0.15,0.07,0.35,1.1768862158732336,0.13859759061947474,0.17886222901633098,0.6936543229039273,-0.34549676333999035,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,8.0,results_optimization\combo_021
22,-0.8,0.15,0.07,0.45,1.1672805111119398,0.13775772857861956,0.17972751669922638,0.6856417903262861,-0.3457316627029415,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_022
23,-0.8,0.15,0.1,0.35,1.1768862158732336,0.13859759061947474,0.17886222901633098,0.6936543229039273,-0.34549676333999035,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,8.2,results_optimization\combo_023
24,-0.8,0.15,0.1,0.45,1.1672805111119398,0.13775772857861956,0.17972751669922638,0.6856417903262861,-0.3457316627029415,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_024
25,-0.8,0.2,0.05,0.35,1.2072896454033413,0.14123567648128077,0.17707152755499267,0.7155675786660014,-0.33873067524562905,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.5,results_optimization\combo_025
26,-0.8,0.2,0.05,0.45,1.1970462739371324,0.1403502662345295,0.17680508127968605,0.7116381105440615,-0.3346202998740831,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.5,results_optimization\combo_026
27,-0.8,0.2,0.07,0.35,1.2072896454033413,0.14123567648128077,0.17707152755499267,0.7155675786660014,-0.33873067524562905,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,8.0,results_optimization\combo_027
28,-0.8,0.2,0.07,0.45,1.1970462739371324,0.1403502662345295,0.17680508127968605,0.7116381105440615,-0.3346202998740831,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.3,results_optimization\combo_028
29,-0.8,0.2,0.1,0.35,1.2072896454033413,0.14123567648128077,0.17707152755499267,0.7155675786660014,-0.33873067524562905,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.4,results_optimization\combo_029
30,-0.8,0.2,0.1,0.45,1.1970462739371324,0.1403502662345295,0.17680508127968605,0.7116381105440615,-0.3346202998740831,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.3,results_optimization\combo_030
31,-0.8,0.28,0.05,0.35,1.2237648308216653,0.14265259372063177,0.17645744893006612,0.7260875765768628,-0.33557495565969997,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.4,results_optimization\combo_031
