Date,IWDA.L,IEMA.L,IUSN.DE,XLK,XLF,XLV,XLE,XLP,XLI,XLU,SOXX,CIBR,BOTZ,LIT,ITB,GLD,SLV,DBA,TLT,IEF,XEON.DE
2020-07-03,60.15999984741211,33.619998931884766,4.287499904632568,50.32780838012695,20.7344913482666,92.66364288330078,14.906987190246582,50.70865249633789,63.21318435668945,24.2718563079834,85.99419403076172,32.826927185058594,23.694198608398438,31.117338180541992,41.437835693359375,166.97999572753906,16.709999084472656,12.027624130249023,138.00460815429688,105.83887481689453,136.2899932861328
2020-07-06,61.27000045776367,34.77000045776367,4.3445000648498535,51.20749282836914,21.131671905517578,93.60303497314453,14.950907707214355,50.95793151855469,64.12041473388672,23.974218368530273,88.26581573486328,33.051483154296875,24.285810470581055,33.559043884277344,42.546932220458984,167.97999572753906,17.049999237060547,11.96585464477539,137.4393768310547,105.68234252929688,136.29600524902344
2020-07-07,61.18000030517578,34.560001373291016,4.323999881744385,50.67203903198242,20.69838523864746,92.79132843017578,14.475825309753418,51.4221305847168,62.892452239990234,23.877803802490234,87.2237319946289,32.79762649536133,24.108325958251953,33.81859588623047,42.25053405761719,169.0399932861328,17.010000228881836,12.00997543334961,139.37127685546875,106.0214614868164,136.34500122070312
2020-07-08,60.650001525878906,34.709999084472656,4.253499984741211,51.499122619628906,20.915027618408203,92.80046081542969,14.463850975036621,51.29318618774414,62.892452239990234,24.091596603393555,88.40559387207031,33.559226989746094,24.344974517822266,34.2800178527832,43.76118087768555,170.08999633789062,17.489999771118164,12.054097175598145,138.8145294189453,105.85625457763672,136.2899932861328
2020-07-09,60.27000045776367,34.92499923706055,4.212500095367432,51.68557357788086,20.472715377807617,92.07080078125,13.749238014221191,50.889163970947266,61.527008056640625,23.768814086914062,89.57794952392578,34.08648681640625,24.236509323120117,34.22234344482422,42.5373649597168,169.6300048828125,17.3799991607666,12.09821891784668,141.02468872070312,106.19538879394531,136.3179931640625
2020-07-10,60.88999938964844,34.84000015258789,4.269499778747559,51.671234130859375,21.176799774169922,91.85193634033203,14.188385009765625,51.826148986816406,62.32426071166992,24.217357635498047,89.27610778808594,33.99860763549805,24.571760177612305,34.97215270996094,43.22575378417969,169.19000244140625,17.43000030517578,11.96585464477539,140.31605529785156,105.98670959472656,136.3800048828125
2020-07-13,62.11000061035156,35.310001373291016,4.302000045776367,50.60032653808594,21.26706886291504,92.37177276611328,14.112531661987305,51.74878692626953,62.58085632324219,24.242511749267578,87.80831146240234,32.543766021728516,24.049161911010742,36.17378234863281,42.23140335083008,169.39999389648438,17.729999542236328,11.859960556030273,140.7800750732422,106.09971618652344,136.33599853515625
2020-07-14,61.150001525878906,34.61000061035156,4.226500034332275,51.1835823059082,21.375394821166992,94.20500183105469,14.607568740844727,52.505245208740234,63.93711471557617,24.468881607055664,89.26023864746094,32.8659782409668,24.42385482788086,35.72196960449219,43.847232818603516,170.19000244140625,17.969999313354492,11.815840721130371,140.9825439453125,106.0910415649414,136.25100708007812
2020-07-15,62.20000076293945,34.810001373291016,4.3429999351501465,51.460872650146484,21.79964828491211,95.42711639404297,14.922953605651855,52.54822540283203,65.56832122802734,24.372459411621094,89.10456085205078,33.0026741027832,24.89714813232422,35.69314193725586,44.91807556152344,170.33999633789062,18.170000076293945,11.992327690124512,140.3245086669922,106.0562515258789,136.30599975585938
2020-07-16,61.810001373291016,34.29999923706055,4.33650016784668,50.82502365112305,21.79964828491211,95.27207946777344,14.855090141296387,52.65996551513672,65.58663940429688,24.682674407958984,88.77098083496094,32.61211395263672,24.473154067993164,34.18388748168945,45.75946044921875,168.72999572753906,17.780000686645508,12.054097175598145,140.990966796875,106.134521484375,136.37899780273438
