Date,Portfolio Value,Rebalance,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2021-01-29,113881.67,True,"IWDA.L, VGK, EWJ, IEMA.L, EWZ, INDA, XLF, XLI, XLP, SOXX, CIBR, BOTZ, LIT, SLV, TLT",15,0.0156,normal,"rebalance: CIBR peso=0.0000 fuera de [0.0708, 0.1108]"
2021-02-26,114024.13,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, MCHI, EWZ, INDA, XLF, XLI, XLV, XLP, XLU, SOXX, CIBR, BOTZ, LIT, SLV, TIP",19,0.1712,normal,"rebalance: CIBR peso=0.0869 fuera de [0.0221, 0.0621]"
2021-03-31,115202.46,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, MCHI, INDA, XLF, XLE, XLI, XLV, XLK, SOXX, CIBR, BOTZ, LIT, SLV, DBA, TIP",19,0.013,normal,"rebalance: BOTZ peso=0.1237 fuera de [0.0257, 0.0657]"
2021-04-30,119347.71,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, INDA, XLF, XLE, XLI, XLV, XLP, SOXX, CIBR, IEF, TIP",15,0.0214,normal,"rebalance: BOTZ peso=0.0454 fuera de [0.0000, 0.0200]"
2021-05-31,122195.19,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, XLF, XLE, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, LIT, VNQ, DBA, TIP",17,0.0154,normal,"rebalance: CIBR peso=0.0185 fuera de [0.0243, 0.0643]"
2021-06-30,123671.32,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, INDA, XLF, XLE, XLI, ITB, XLP, SOXX, CIBR, LIT, VNQ, GLD, SLV, DBA, TIP",18,0.0,normal,"rebalance: DBA peso=0.0897 fuera de [0.0201, 0.0601]"
2021-07-30,125798.6,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, MCHI, EWZ, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLK, SOXX, CIBR, VNQ, DBA, TIP",19,0.0,normal,"rebalance: CIBR peso=0.0465 fuera de [0.0002, 0.0402]"
2021-08-31,128670.99,True,"IWDA.L, VGK, IUSN.DE, EWZ, XLF, XLE, XLI, ITB, XLV, XLP, XLK, SOXX, CIBR, LIT, VNQ, SLV, DBA, IEF, TIP",19,0.0038,normal,"rebalance: IEF peso=0.0000 fuera de [0.0583, 0.0983]"
2021-09-30,123178.68,True,"IWDA.L, VGK, EWZ, INDA, XLF, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, BOTZ, LIT, VNQ, TIP",16,0.0096,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0011, 0.0411]"
2021-10-29,130049.13,True,"IWDA.L, EWJ, IUSN.DE, INDA, XLF, XLV, XLP, XLK, CIBR, BOTZ, LIT, VNQ, GLD, DBA, IEF, TIP",16,0.0054,normal,"rebalance: DBA peso=0.0000 fuera de [0.1233, 0.1633]"
2021-11-30,128370.79,True,"IWDA.L, VGK, IUSN.DE, INDA, XLF, XLE, XLV, XLP, XLU, XLK, SOXX, CIBR, BOTZ, LIT, VNQ, DBA, TIP",17,0.0,normal,"rebalance: DBA peso=0.1456 fuera de [0.0269, 0.0669]"
2021-12-31,131757.93,True,"IWDA.L, IUSN.DE, IEMA.L, INDA, XLF, XLE, ITB, XLV, XLK, SOXX, CIBR, LIT, VNQ, DBA, IEF, TIP",16,0.0335,normal,"rebalance: CIBR peso=0.1096 fuera de [0.0000, 0.0391]"
2022-01-31,128147.98,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, LIT, VNQ, GLD, DBA, IEF, TIP",21,0.0089,normal,"rebalance: DBA peso=0.1916 fuera de [0.0683, 0.1083]"
