Date,Portfolio Value,Rebalance,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2025-03-31,173894.16,True,"IWDA.L, VGK, MCHI, XLY, XLC, XLF, KBE, XLE, XLI, XLU, CIBR, LIT, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: DBA peso=0.0906 fuera de [0.0504, 0.0904]"
2025-04-30,175647.48,True,"VGK, EWJ, MCHI, XLC, XLF, KBE, XLE, XLV, XLP, XLU, CIBR, GLD, SLV, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,caution,"rebalance: IEF peso=0.0279 fuera de [0.0298, 0.0698]"
2025-05-30,180700.43,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWZ, INDA, XLC, XLF, XLP, IGV, CIBR, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: BITO peso=0.0952 fuera de [0.0457, 0.0857]"
2025-06-30,185686.61,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWZ, XLC, XLF, XLI, XLP, XLU, CIBR, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: IGV peso=0.0271 fuera de [0.0000, 0.0200]"
2025-07-31,186084.87,True,"IWDA.L, VGK, IEMA.L, MCHI, EWZ, EWT, EWY, XLC, XLF, KBE, XLI, XLB, XLP, XLK, IGV, CIBR, GLD, COPX, BITO",19,0.0035,normal,"rebalance: COPX peso=0.0000 fuera de [0.0321, 0.0721]"
2025-08-29,192756.62,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWT, EWY, XLC, XLF, XLI, XLU, XLK, SOXX, GLD, SLV, HYG, EMB, BITO",18,0.0,normal,"rebalance: CIBR peso=0.0321 fuera de [0.0000, 0.0200]"
2025-09-30,203017.24,True,"IWDA.L, VGK, EWJ, IEMA.L, EWZ, EWY, XLY, XLC, XLF, KBE, XLI, ITB, XLU, XLK, SOXX, LIT, GLD, SLV, COPX",19,0.0016,normal,"rebalance: BITO peso=0.0273 fuera de [0.0000, 0.0200]"
2025-10-31,209016.22,True,"VGK, IEMA.L, MCHI, EWT, EWY, XLY, XLC, XLI, ITB, XBI, XLK, SOXX, IGV, BOTZ, VNQ, LIT, SLV, COPX, BITO",19,0.0034,normal,"rebalance: COPX peso=0.0707 fuera de [0.1222, 0.1622]"
2025-11-28,209770.23,True,"IWDA.L, IEMA.L, EWT, EWY, XLC, XLI, ITB, XBI, XLU, XLK, SOXX, LIT, SLV, COPX",14,0.0145,normal,"rebalance: EWY peso=0.0805 fuera de [0.1039, 0.1439]"
2025-12-30,220092.87,True,"EWZ, EWY, XLY, XLC, ITB, XLV, XBI, XLU, XLK, SOXX, LIT, GLD, SLV, COPX",14,0.0045,normal,"rebalance: COPX peso=0.1505 fuera de [0.0525, 0.0925]"
